index,type,value,combination
8007,i32,5,i32	constant	
8008,i32,5,i32	constant	
8009,i32,3,i32	constant	
8010,i32,2,i32	constant	
8011,i32,5,i32	constant	
8012,i32,32,i32	constant	
8013,i32,101,i32	constant	
8014,_xmlAutomata*,null,xml	Automata*	null	
8015,i32,32,i32	constant	
8016,_xmlAutomataState*,null,xml	Automata	State*	null	
8017,_xmlAutomataState*,null,xml	Automata	State*	null	
8018,i32,32,i32	constant	
8019,i32,102,i32	constant	
8020,_xmlAutomata*,null,xml	Automata*	null	
8021,_xmlAutomataState*,null,xml	Automata	State*	null	
8022,i32,32,i32	constant	
8023,i32,99,i32	constant	
8024,_xmlAutomata*,null,xml	Automata*	null	
8025,i32,32,i32	constant	
8026,_xmlAutomataState*,null,xml	Automata	State*	null	
8027,i32,32,i32	constant	
8028,_xmlAutomataState*,null,xml	Automata	State*	null	
8029,i32,32,i32	constant	
8030,i32,32,i32	constant	
8031,i32,45,i32	constant	
8032,i32,45,i32	constant	
8033,_xmlAutomata*,null,xml	Automata*	null	
8034,_xmlRegexp*,null,xml	Regexp*	null	
8035,i32,62,i32	constant	
8036,i32,61,i32	constant	
8037,_xmlRegexp*,null,xml	Regexp*	null	
8038,_xmlRegExecCtxt*,null,xml	Reg	Exec	Ctxt*	null	
8039,i32,0,i32	constant	
8040,i32,0,i32	constant	
8041,i32,1,i32	constant	
8042,i32,0,i32	constant	
8043,i32,-1,i32	constant	
8044,i32,0,i32	constant	
8045,i32,0,i32	constant	
8046,_xmlRegexp*,null,xml	Regexp*	null	
8047,_xmlRegExecCtxt*,null,xml	Reg	Exec	Ctxt*	null	
8048,_xmlRegexp*,null,xml	Regexp*	null	
8049,i32,57,i32	constant	
8050,i32,48,i32	constant	
8051,_xmlRegExecCtxt*,null,xml	Reg	Exec	Ctxt*	null	
8052,_xmlAutomata*,null,xml	Automata*	null	
8053,i32,1,i32	constant	
8054,i32,1,i32	constant	
8055,i32,0,i32	constant	
8056,i32,1,i32	constant	
8057,i32,0,i32	constant	
8058,i32,1,i32	constant	
8059,i32,0,i32	constant	
8060,i32,1,i32	constant	
8061,i32,0,i32	constant	
8062,i32,1,i32	constant	
8063,i32,0,i32	constant	
8064,i32,1,i32	constant	
8065,i32,0,i32	constant	
8066,i32,1,i32	constant	
8067,i32,0,i32	constant	
8068,i32,0,i32	constant	
8069,i32,1,i32	constant	
8070,i32,0,i32	constant	
8071,i32,1000,i32	constant	
8072,_IO_FILE*,null,I	O	F	I	L	E*	null	
8073,_xmlAutomata*,null,xml	Automata*	null	
8074,_xmlAutomataState*,null,xml	Automata	State*	null	
8075,i8*,null,i8*	null	
8076,i32,35,i32	constant	
8077,i32,0,i32	constant	
8078,i32,9,i32	constant	
8079,i32,10,i32	constant	
8080,i32,32,i32	constant	
8081,i32,13,i32	constant	
8082,i32,0,i32	constant	
8083,i32,32,i32	constant	
8084,i32,116,i32	constant	
8085,_xmlAutomata*,null,xml	Automata*	null	
8086,i32,32,i32	constant	
8087,_xmlAutomataState*,null,xml	Automata	State*	null	
8088,i32,32,i32	constant	
8089,_xmlAutomataState*,null,xml	Automata	State*	null	
8090,_xmlXPathObject*,null,xml	X	Path	Object*	null	
8091,i32,0,i32	constant	
8092,i8*,null,i8*	null	
8093,i64,-1,i64	constant	
8094,i8*,null,i8*	null	
8095,_xmlXPathObject*,null,xml	X	Path	Object*	null	
8096,i32,3,i32	constant	
8097,i32,0,i32	constant	
8098,i32,3,i32	constant	
8099,i32,0,i32	constant	
8100,i32,3,i32	constant	
8101,i32,0,i32	constant	
8102,i32,3,i32	constant	
8103,i32,0,i32	constant	
8104,i32,3,i32	constant	
8105,i32,0,i32	constant	
8106,i32,4,i32	constant	
8107,i32,3,i32	constant	
8108,i8**,null,i	null	
8109,i32,0,i32	constant	
8110,i32,4,i32	constant	
8111,i32,3,i32	constant	
8112,i8**,null,i	null	
8113,i32,-1,i32	constant	
